Drive	Extraction Status	Rule Set Name	Rule Name	Description	Filename	Path
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	Blue hills.jpg	Documents and Settings/All Users/Documents/My Pictures/Sample Pictures/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	Sunset.jpg	Documents and Settings/All Users/Documents/My Pictures/Sample Pictures/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	Water lilies.jpg	Documents and Settings/All Users/Documents/My Pictures/Sample Pictures/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	Winter.jpg	Documents and Settings/All Users/Documents/My Pictures/Sample Pictures/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	128.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/blpcfgokakmgnkcojhhkbfbldkacnbeo/4.2_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	128.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/coobgpohoikkiipiblmjeljniedjpjpf/0.0.0.14_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	16.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/coobgpohoikkiipiblmjeljniedjpjpf/0.0.0.14_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	32.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/coobgpohoikkiipiblmjeljniedjpjpf/0.0.0.14_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	48.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/coobgpohoikkiipiblmjeljniedjpjpf/0.0.0.14_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	128.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/pjkljhegncpnkpknbcohdijeoejaedia/6.1.3_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	24.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/pjkljhegncpnkpknbcohdijeoejaedia/6.1.3_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	png rule	find png in Google folder	48.png	Documents and Settings/John/Local Settings/Application Data/Google/Chrome/User Data/Default/Extensions/pjkljhegncpnkpknbcohdijeoejaedia/6.1.3_0/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	016e5609d285fd7794b3319433dcc7f0_150x150[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	05072011-12v[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	05072011-12v[2].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	141674726[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	150px-Date_mark_of_Nagasaki_bomb[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	150px-Fat_man[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	150px-HiroshimaNakajimaAreaInRuins[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	150px-Nagasakibomb[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	150px-Nagasaki_temple_destroyed[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	157242_687787622_1662099435_q[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	pccleaner[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	Santorum_2012_090f5--606x404[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	seek%3D330-Hiroshima_Aftermath_1946_USAF_Film.ogg[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	BING_websearch_2[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	bkgd-input[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	bk_2x1[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	1C292392A3EB692F156893FF1C2DE[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	220px-Hasib_Hussain_leaving_Boots_the_Chemist%2C_King%27s_Cross_railway_station%2C_9_am_July_7%2C_2005[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	32px-National_Park_Service_9-11_Statue_of_Liberty_and_WTC_fire[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	ThumbnailServer2[2].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	cta[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	di_kamar_kos1_normal[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	imagenewsfetcher[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	imagenewsfetcher[2].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	imagenewsfetcher[3].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	image_normal[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	image_normal[2].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	image_normal[3].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	jets.124[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	ThumbnailServer2[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	c798327a75160bf450545fb232541a9c_150x150[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	CADCTS12_Lifestyle_NonEventRetailPlsUp_Lease_Ends040212_STD728x90[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	ThumbnailServer2[3].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	ThumbnailServer2[4].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	thumbnail[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	thumbnail[2].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	thumbnail[3].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	th[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	th[2].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	th[3].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	th[4].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	th[5].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	me_normal[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	shop_a_thon[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	r%2010_1332249960[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	reader_128[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	Rhoda2_normal[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	220px-INTEL-COGNITIVE-Cole[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	220px-Russell_square_police_road[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	221164812[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	221915739[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	222489221[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	223761935[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	224847491[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
Z:\jkho On My Mac\images\xp-sp3-v4.img	0	no-set-name	jpg rule	find all jpg files	225178001[1].jpg	Documents and Settings/John/Local Settings/Temporary Internet Files/Content.IE5/4K0CXT3M/
